Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion
3,21.855008,-102.304166,2,4,21.952774,-102.335661,2,5,21.900588,-102.292802,2,6,21.930494,-102.298173,1,,8,21.933025,-102.254186,1,9,21.912224,-102.244912,1
3,21.858623,-102.305382,2,4,21.952651,-102.334963,2,5,21.894561,-102.292817,2,6,21.935033,-102.297582,1,,8,21.929871,-102.256202,2,9,21.912751,-102.245703,2
3,21.859906,-102.301331,2,4,21.950596,-102.324281,2,5,21.892788,-102.293667,2,6,21.937238,-102.297102,1,,8,21.929847,-102.256852,2,9,21.917128,-102.245453,2
3,21.860525,-102.300663,2,4,21.947446,-102.325112,2,5,21.891436,-102.295032,2,6,21.945754,-102.297388,1,,8,21.929995,-102.257703,2,9,21.917349,-102.245521,2
3,21.862743,-102.299283,2,4,21.946396,-102.325184,2,5,21.891288,-102.294935,2,6,21.950638,-102.324141,1,,8,21.931332,-102.260177,2,9,21.915767,-102.246737,2
3,21.863982,-102.298714,2,4,21.937795,-102.324524,2,5,21.889872,-102.293325,2,6,21.953017,-102.335688,1,,8,21.925594,-102.263867,2,9,21.915946,-102.247863,2
3,21.864203,-102.299883,2,4,21.936784,-102.324694,2,5,21.886697,-102.296351,2,6,21.958801,-102.342455,1,,8,21.925461,-102.263889,2,9,21.916306,-102.248856,2
3,21.866204,-102.299449,2,4,21.933625,-102.323128,2,5,21.884859,-102.295702,2,6,21.959786,-102.343077,1,,8,21.924741,-102.263239,2,9,21.915893,-102.249285,2
3,21.865624,-102.295666,2,4,21.931129,-102.320982,2,5,21.884054,-102.295325,2,6,21.960391,-102.343077,1,,8,21.922548,-102.262066,2,9,21.913539,-102.252471,2
3,21.865422,-102.294283,2,4,21.916625,-102.313897,2,5,21.883736,-102.295308,2,6,21.963149,-102.342137,1,,8,21.922314,-102.262202,2,9,21.912397,-102.251971,2
3,21.871393,-102.295148,2,4,21.909357,-102.310695,2,5,21.881532,-102.294615,2,6,21.964514,-102.347705,1,,8,21.920037,-102.264755,2,9,21.911595,-102.253494,2
3,21.875646,-102.294986,2,4,21.902815,-102.307629,2,5,21.881272,-102.295518,2,6,21.966245,-102.347311,1,,8,21.919837,-102.264872,2,9,21.911197,-102.253732,2
3,21.878518,-102.295972,2,4,21.896302,-102.304205,2,5,21.881313,-102.295711,2,6,21.967097,-102.350971,1,,8,21.917443,-102.265377,2,9,21.909994,-102.253435,2
3,21.879233,-102.296175,2,4,21.897944,-102.298267,2,5,21.880662,-102.297666,2,6,21.966949,-102.350966,2,,8,21.914446,-102.265865,2,9,21.909791, -102.253482,2
3,21.881115,-102.296581,2,4,21.897359,-102.300342,2,5,21.878165,-102.296964,2,6,21.963718,-102.351158,2,,8,21.914237,-102.266722,2,9,21.908611,-102.255715,2
3,21.882914,-102.297459,2,4,21.895797,-102.299838,2,5,21.875334,-102.296272,2,6,21.963174,-102.349167,2,,8,21.912325,-102.266372,2,9,21.908099,-102.256113,2
3,21.883419,-102.296206,2,4,21.891886,-102.297698,2,5,21.872658,-102.297692,2,6,21.962606,-102.349321,2,,8,21.911115,-102.269087,2,9,21.907341,-102.256444,2
3,21.886628,-102.297048,2,4,21.891815,-102.297417,2,5,21.871251,-102.297797,2,6,21.961967,-102.347407,2,,8,21.909735,-102.270665,2,9,21.906972,-102.256908,2
3,21.890073,-102.295071,2,4,21.890664,-102.297364,2,5,21.869941,-102.297482,2,6,21.960695,-102.347812,2,,8,21.908778,-102.272699,2,9,21.902767,-102.270098,2
3,21.891363,-102.294994,2,4,21.888338,-102.297991,2,5,21.870706,-102.295159,2,6,21.959808,-102.346188,2,,8,21.912917,-102.274914,2,9,21.899383,-102.270708,2
3,21.892914,-102.293553,2,4,21.884719,-102.298844,2,5,21.865386,-102.294291,2,6,21.959071,-102.343617,2,,8,21.913761,-102.275369,2,9,21.899857,-102.271805,2
3,21.894074,-102.292927,2,4,21.883573,-102.298437,2,5,21.866876,-102.302983,2,6,21.959046,-102.343021,2,,8,21.914198,-102.275839,2,9,21.899999,-102.272698,2
3,21.896134,-102.292787,2,4,21.880929,-102.297045,2,5,21.864046,-102.303652,2,6,21.954787,-102.338032,2,,8,21.914634,-102.276644,2,9,21.900011,-102.273004,2
3,21.896537,-102.291422,2,4,21.880649,-102.297649,2,5,21.862895,-102.303578,2,6,21.952662,-102.335578,2,,8,21.914761,-102.278692,2,9,21.899963,-102.273208,2
3,21.900455,-102.292545,2,4,21.875323,-102.296283,2,5,21.862056,-102.303119,2,6,21.952654,-102.334911,2,,8,21.912494,-102.278783,2,9,21.896015,-102.278439,2
